ISO3,country,adm1_name,adm2_name,mkt_name,lat,lon,geo_id,price_date,year,month,currency,components,start_dense_data,last_survey_point,data_coverage,data_coverage_recent,index_confidence_score,spatially_interpolated,maize,potatoes,sorghum,o_maize,h_maize,l_maize,c_maize,inflation_maize,trust_maize,o_potatoes,h_potatoes,l_potatoes,c_potatoes,inflation_potatoes,trust_potatoes,o_sorghum,h_sorghum,l_sorghum,c_sorghum,inflation_sorghum,trust_sorghum,o_food_price_index,h_food_price_index,l_food_price_index,c_food_price_index,inflation_food_price_index,trust_food_price_index,year_month
KEN,Kenya,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.52,35.28,gid_5200000352800000,2007-01-01,2007,1,KES,"maize (1 KG, Index Weight = 1), potatoes (50 KG, Index Weight = 0.02), sorghum (90 KG, Index Weight = 0.01)",Jan 2007,Dec 2020,5.24,0,0.96,0,,675.0,1340.0,31.24,31.57,31.13,31.35,,9.9,661.58,743.98,609.75,675.0,,9.5,1324.78,1422.36,1258.81,1340.0,,10.0,0.41,0.43,0.4,0.42,,9.8,2007-01
KEN,Kenya,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.52,35.28,gid_5200000352800000,2007-02-01,2007,2,KES,"maize (1 KG, Index Weight = 1), potatoes (50 KG, Index Weight = 0.02), sorghum (90 KG, Index Weight = 0.01)",Jan 2007,Dec 2020,5.24,0,0.96,0,,,1189.47,31.46,31.68,31.24,31.29,,9.8,690.59,759.07,622.11,716.66,,9.3,1355.98,1438.69,1190.22,1190.22,,9.6,0.42,0.44,0.4,0.41,,9.8,2007-02
KEN,Kenya,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.52,35.28,gid_5200000352800000,2007-03-01,2007,3,KES,"maize (1 KG, Index Weight = 1), potatoes (50 KG, Index Weight = 0.02), sorghum (90 KG, Index Weight = 0.01)",Jan 2007,Dec 2020,5.24,0,0.96,0,,,1208.33,31.33,31.55,31.12,31.22,,9.8,736.6,799.71,673.5,745.85,,9.3,1158.69,1237.13,1080.24,1208.33,,9.5,0.41,0.43,0.4,0.42,,9.8,2007-03
KEN,Kenya,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.52,35.28,gid_5200000352800000,2007-04-01,2007,4,KES,"maize (1 KG, Index Weight = 1), potatoes (50 KG, Index Weight = 0.02), sorghum (90 KG, Index Weight = 0.01)",Jan 2007,Dec 2020,5.24,0,0.96,0,,759.25,1166.67,31.27,31.46,31.07,31.4,,9.8,766.3,822.65,709.95,764.04,,9.3,1203.36,1274.64,1132.08,1169.54,,9.6,0.42,0.43,0.4,0.42,,9.8,2007-04
KEN,Kenya,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.52,35.28,gid_5200000352800000,2007-05-01,2007,5,KES,"maize (1 KG, Index Weight = 1), potatoes (50 KG, Index Weight = 0.02), sorghum (90 KG, Index Weight = 0.01)",Jan 2007,Dec 2020,5.24,0,0.96,0,,830.68,1555.0,31.54,31.74,31.22,31.22,,9.8,775.95,830.68,726.49,830.68,,9.3,1159.13,1555.0,1098.0,1555.0,,9.6,0.42,0.46,0.41,0.46,,9.8,2007-05
KEN,Kenya,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.52,35.28,gid_5200000352800000,2007-06-01,2007,6,KES,"maize (1 KG, Index Weight = 1), potatoes (50 KG, Index Weight = 0.02), sorghum (90 KG, Index Weight = 0.01)",Jan 2007,Dec 2020,5.24,0,0.96,0,,666.66,1359.08,31.2,31.45,30.95,31.13,,9.8,853.69,904.97,666.66,666.66,,9.4,1695.47,1856.79,1361.19,1361.19,,9.7,0.46,0.47,0.42,0.42,,9.8,2007-06
KEN,Kenya,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.52,35.28,gid_5200000352800000,2007-07-01,2007,7,KES,"maize (1 KG, Index Weight = 1), potatoes (50 KG, Index Weight = 0.02), sorghum (90 KG, Index Weight = 0.01)",Jan 2007,Dec 2020,5.24,0,0.96,0,,,1389.52,31.18,31.39,30.98,31.19,,9.8,670.66,737.52,603.81,693.39,,9.3,1366.69,1519.12,1214.27,1389.52,,9.6,0.42,0.44,0.4,0.42,,9.8,2007-07
KEN,Kenya,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.52,35.28,gid_5200000352800000,2007-08-01,2007,8,KES,"maize (1 KG, Index Weight = 1), potatoes (50 KG, Index Weight = 0.02), sorghum (90 KG, Index Weight = 0.01)",Jan 2007,Dec 2020,5.24,0,0.96,0,,,1405.88,31.27,31.46,31.09,31.18,,9.8,682.52,742.7,622.33,681.81,,9.3,1404.89,1540.97,1268.82,1405.88,,9.6,0.42,0.44,0.41,0.42,,9.8,2007-08
KEN,Kenya,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.52,35.28,gid_5200000352800000,2007-09-01,2007,9,KES,"maize (1 KG, Index Weight = 1), potatoes (50 KG, Index Weight = 0.02), sorghum (90 KG, Index Weight = 0.01)",Jan 2007,Dec 2020,5.24,0,0.96,0,,,1857.14,31.22,31.41,31.04,31.19,,9.8,737.82,788.5,687.15,762.0,,9.3,1421.85,1857.14,1301.59,1857.14,,9.6,0.43,0.47,0.42,0.47,,9.8,2007-09
KEN,Kenya,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.52,35.28,gid_5200000352800000,2007-10-01,2007,10,KES,"maize (1 KG, Index Weight = 1), potatoes (50 KG, Index Weight = 0.02), sorghum (90 KG, Index Weight = 0.01)",Jan 2007,Dec 2020,5.24,0,0.96,0,,850.69,1518.75,31.25,31.43,31.07,31.17,,9.8,767.53,850.69,717.96,850.69,,9.3,2041.49,2254.41,1518.75,1518.75,,9.6,0.47,0.48,0.45,0.45,,9.8,2007-10
