ISO3,country,adm1_name,adm2_name,mkt_name,lat,lon,geo_id,price_date,year,month,currency,components,start_dense_data,last_survey_point,data_coverage,data_coverage_recent,index_confidence_score,spatially_interpolated,beans,groundnuts,maize,millet,rice,sorghum,o_beans,h_beans,l_beans,c_beans,inflation_beans,trust_beans,o_groundnuts,h_groundnuts,l_groundnuts,c_groundnuts,inflation_groundnuts,trust_groundnuts,o_maize,h_maize,l_maize,c_maize,inflation_maize,trust_maize,o_millet,h_millet,l_millet,c_millet,inflation_millet,trust_millet,o_rice,h_rice,l_rice,c_rice,inflation_rice,trust_rice,o_sorghum,h_sorghum,l_sorghum,c_sorghum,inflation_sorghum,trust_sorghum,o_food_price_index,h_food_price_index,l_food_price_index,c_food_price_index,inflation_food_price_index,trust_food_price_index,year_month
MLI,Mali,Kidal,Kidal,Abeibara,18.44,1.42,gid_18440000014200000,2022-05-01,2022,5,XOF,"beans (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Apr 2025,38.04,39.54,0.88,0,,,,500.0,,,642.82,659.44,618.84,618.84,-0.27,7.5,881.74,903.99,853.79,853.79,-9.3,7.3,429.84,445.63,414.05,433.8,8.63,7.3,492.0,515.91,468.09,500.0,25.27,7.6,482.12,492.84,471.4,486.89,11.71,8.2,370.31,398.24,315.56,315.56,-21.24,7.6,1.63,1.66,1.58,1.58,0.38,7.8,2022-05
MLI,Mali,Kidal,Kidal,Adjelhoc,18.44,1.41,gid_18440000014100000,2019-06-01,2019,6,XOF,"beans (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Apr 2025,38.04,39.54,0.88,0,,,,250.0,,,425.39,467.58,414.73,467.58,-3.44,7.5,667.85,733.32,656.43,733.32,6.68,7.3,204.32,211.39,197.25,198.97,-9.4,7.3,370.56,383.63,360.22,383.63,5.06,7.6,395.39,404.48,386.3,398.6,0.87,8.2,245.37,260.88,237.22,260.88,4.8,7.6,1.15,1.21,1.12,1.21,1.77,7.8,2019-06
MLI,Mali,Kidal,Kidal,Adjelhoc,18.44,1.41,gid_18440000014100000,2021-03-01,2021,3,XOF,"beans (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Apr 2025,38.04,39.54,0.88,0,,,1000.0,,,,617.88,639.25,596.51,619.72,9.89,7.5,781.46,812.68,764.58,812.68,7.31,7.3,411.82,430.15,393.49,405.5,-10.22,7.3,425.53,448.88,402.19,440.53,-4.46,7.8,425.71,438.99,412.43,433.99,21.52,8.0,371.7,401.63,344.63,401.63,74.43,7.6,1.51,1.55,1.47,1.54,10.37,7.8,2021-03
MLI,Mali,Kidal,Kidal,Adjelhoc,18.44,1.41,gid_18440000014100000,2022-06-01,2022,6,XOF,"beans (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Apr 2025,38.04,39.54,0.88,0,,,,600.0,,,610.36,638.73,593.53,638.73,4.16,7.5,850.79,865.41,836.18,839.32,-6.77,7.3,430.74,446.29,415.2,434.4,9.75,7.3,486.61,559.17,468.09,559.17,38.98,7.6,492.01,502.42,480.76,480.76,11.45,8.2,318.07,346.59,290.3,346.59,-11.21,7.6,1.57,1.63,1.54,1.63,5.28,7.8,2022-06
MLI,Mali,Kidal,Kidal,Adjelhoc,18.44,1.41,gid_18440000014100000,2022-07-01,2022,7,XOF,"beans (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Apr 2025,38.04,39.54,0.88,0,,,,600.0,,,638.88,656.95,620.82,640.39,2.36,7.5,828.45,844.74,812.15,836.05,-3.78,7.3,434.06,449.09,363.47,363.47,-9.16,7.4,550.65,600.0,511.66,600.0,38.79,7.7,475.76,514.26,465.1,514.26,18.55,8.4,343.81,372.64,314.97,356.84,-10.74,7.6,1.63,1.66,1.59,1.63,4.76,7.9,2022-07
MLI,Mali,Gao,Menaka,Agazrahane,15.91,2.4,gid_15910000024000000,2020-07-01,2020,7,XOF,"beans (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Apr 2025,38.04,39.54,0.88,0,,1105.0,,350.0,,,568.94,582.88,554.99,580.51,6.56,7.5,1049.88,1105.0,1020.35,1105.0,51.46,7.3,214.02,217.79,210.26,215.5,-0.61,7.6,358.87,372.0,345.75,350.0,16.47,7.7,410.63,422.4,398.86,421.07,4.09,8.2,218.29,228.5,208.09,228.03,-10.5,7.6,1.4,1.43,1.38,1.43,18.33,7.9,2020-07
MLI,Mali,Gao,Menaka,Agazrahane,15.91,2.4,gid_15910000024000000,2021-02-01,2021,2,XOF,"beans (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Apr 2025,38.04,39.54,0.88,0,610.0,1500.0,,,,,499.83,512.67,486.99,508.99,4.97,7.7,970.06,1009.27,930.86,979.49,39.34,7.4,222.07,232.99,218.37,232.99,4.62,8.0,317.46,369.67,306.41,369.67,2.97,7.7,417.94,426.53,409.35,412.43,13.87,8.3,254.08,263.65,235.5,235.5,7.71,7.7,1.33,1.36,1.3,1.35,16.54,8.0,2021-02
MLI,Mali,Gao,Menaka,Agazrahane,15.91,2.4,gid_15910000024000000,2021-04-01,2021,4,XOF,"beans (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Apr 2025,38.04,39.54,0.88,0,,,,445.0,,,519.43,532.37,506.49,530.93,-5.72,7.7,951.5,984.41,918.6,927.61,11.71,7.5,234.16,252.1,230.17,252.1,13.74,8.0,391.3,440.2,376.61,440.2,21.4,7.8,431.4,482.73,422.67,482.73,26.72,8.5,214.8,226.25,203.35,223.26,-4.4,7.8,1.35,1.41,1.32,1.41,10.21,8.1,2021-04
MLI,Mali,Gao,Menaka,Agazrahane,15.91,2.4,gid_15910000024000000,2021-05-01,2021,5,XOF,"beans (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Apr 2025,38.04,39.54,0.88,0,,,,350.0,,,535.41,548.77,502.73,502.73,-10.29,7.7,921.59,951.69,891.5,921.67,4.32,7.5,255.02,259.69,236.2,236.2,4.06,8.1,452.09,470.22,399.96,399.96,7.53,7.8,500.16,516.07,458.05,458.05,19.94,8.7,224.44,234.03,212.41,212.41,-10.38,7.8,1.43,1.46,1.35,1.35,2.6,8.1,2021-05
MLI,Mali,Gao,Menaka,Agazrahane,15.91,2.4,gid_15910000024000000,2023-01-01,2023,1,XOF,"beans (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Apr 2025,38.04,39.54,0.88,0,,,,450.0,,,660.32,676.43,644.2,648.13,14.01,7.5,837.73,860.35,815.12,850.83,3.18,7.3,377.86,386.48,367.28,367.28,16.11,7.3,440.93,458.8,423.07,450.0,13.65,7.6,422.7,440.8,407.6,440.8,-1.06,8.2,418.83,452.53,385.12,390.83,45.09,7.6,1.55,1.58,1.52,1.55,11.62,7.8,2023-01
