ISO3,country,adm1_name,adm2_name,mkt_name,lat,lon,geo_id,price_date,year,month,currency,components,start_dense_data,last_survey_point,data_coverage,data_coverage_recent,index_confidence_score,spatially_interpolated,cowpeas,groundnuts,maize,maize_meal,oil,rice,sugar,wheat_flour,o_cowpeas,h_cowpeas,l_cowpeas,c_cowpeas,inflation_cowpeas,trust_cowpeas,o_groundnuts,h_groundnuts,l_groundnuts,c_groundnuts,inflation_groundnuts,trust_groundnuts,o_maize,h_maize,l_maize,c_maize,inflation_maize,trust_maize,o_maize_meal,h_maize_meal,l_maize_meal,c_maize_meal,inflation_maize_meal,trust_maize_meal,o_oil,h_oil,l_oil,c_oil,inflation_oil,trust_oil,o_rice,h_rice,l_rice,c_rice,inflation_rice,trust_rice,o_sugar,h_sugar,l_sugar,c_sugar,inflation_sugar,trust_sugar,o_wheat_flour,h_wheat_flour,l_wheat_flour,c_wheat_flour,inflation_wheat_flour,trust_wheat_flour,o_food_price_index,h_food_price_index,l_food_price_index,c_food_price_index,inflation_food_price_index,trust_food_price_index,year_month
MOZ,Mozambique,Zambezia,Alto_Molocue,Alto Molócuè,-15.63,37.69,gid_-156300000376900000,2009-06-01,2009,6,MZN,"cowpeas (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), maize_meal (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sugar (1 KG, Index Weight = 1), wheat_flour (1 KG, Index Weight = 1)",Jan 2007,Jan 2025,15.72,0.78,0.91,0,,,4.29,,50.0,23.64,20.0,,34.95,37.19,34.43,37.19,13.92,5.6,50.18,51.87,48.96,51.87,13.78,7.3,5.01,5.51,4.29,4.29,-22.64,8.4,31.51,31.7,31.15,31.15,5.95,8.8,50.54,52.76,48.32,50.0,-3.78,8.3,24.09,24.78,23.39,23.64,2.95,9.1,21.57,21.94,20.0,20.0,-9.69,9.5,29.1,29.33,28.86,29.13,8.99,8.7,0.62,0.63,0.61,0.62,4.34,8.9,2009-06
MOZ,Mozambique,Zambezia,Alto_Molocue,Alto Molócuè,-15.63,37.69,gid_-156300000376900000,2009-07-01,2009,7,MZN,"cowpeas (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), maize_meal (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sugar (1 KG, Index Weight = 1), wheat_flour (1 KG, Index Weight = 1)",Jan 2007,Jan 2025,15.72,0.78,0.91,0,,,5.36,,60.0,21.22,,,36.69,37.68,34.89,34.89,10.06,5.9,52.46,53.95,50.96,51.55,11.75,7.7,4.25,5.36,3.8,5.36,-24.66,8.6,31.35,31.57,31.13,31.39,6.26,9.0,50.8,60.0,48.81,60.0,13.83,8.5,23.72,24.39,21.22,21.22,-8.47,9.2,19.96,20.6,19.39,20.6,-7.15,9.6,29.28,29.51,29.05,29.33,9.02,8.8,0.63,0.64,0.62,0.64,6.21,9.0,2009-07
MOZ,Mozambique,Zambezia,Alto_Molocue,Alto Molócuè,-15.63,37.69,gid_-156300000376900000,2009-08-01,2009,8,MZN,"cowpeas (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), maize_meal (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sugar (1 KG, Index Weight = 1), wheat_flour (1 KG, Index Weight = 1)",Jan 2007,Jan 2025,15.72,0.78,0.91,0,,,4.5,,65.0,20.18,21.0,,35.45,36.46,34.44,36.05,12.7,6.4,51.01,52.38,49.64,51.78,11.84,8.3,5.47,6.08,4.79,4.79,-35.37,8.9,31.53,31.74,31.32,31.59,6.36,9.2,60.57,65.0,56.22,65.0,23.48,8.7,21.21,21.85,20.18,20.18,-19.34,9.3,20.69,21.26,20.11,21.0,-6.91,9.6,29.47,29.69,29.25,29.53,9.97,9.0,0.64,0.65,0.63,0.65,7.2,9.1,2009-08
MOZ,Mozambique,Zambezia,Alto_Molocue,Alto Molócuè,-15.63,37.69,gid_-156300000376900000,2009-09-01,2009,9,MZN,"cowpeas (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), maize_meal (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sugar (1 KG, Index Weight = 1), wheat_flour (1 KG, Index Weight = 1)",Jan 2007,Jan 2025,15.72,0.78,0.91,0,,,5.25,,62.5,,,,35.56,36.49,34.62,35.09,9.65,6.6,52.07,53.38,50.76,51.82,10.89,8.6,4.84,5.38,4.3,5.25,-31.67,9.0,31.73,32.27,31.52,32.27,7.79,9.3,67.51,71.99,62.5,62.5,17.83,8.9,20.1,21.85,19.49,21.85,-11.85,9.4,21.2,21.74,20.67,21.0,-9.38,9.6,29.65,29.87,29.44,29.5,7.43,9.0,0.66,0.67,0.65,0.65,5.91,9.1,2009-09
MOZ,Mozambique,Zambezia,Alto_Molocue,Alto Molócuè,-15.63,37.69,gid_-156300000376900000,2009-10-01,2009,10,MZN,"cowpeas (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), maize_meal (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sugar (1 KG, Index Weight = 1), wheat_flour (1 KG, Index Weight = 1)",Jan 2007,Jan 2025,15.72,0.78,0.91,0,,,6.0,,50.0,,21.0,,35.54,36.35,34.73,36.35,11.38,6.9,51.9,53.12,50.67,52.75,10.87,8.9,5.51,6.08,4.93,6.0,-25.19,9.1,32.34,32.61,32.07,32.22,7.2,9.5,64.73,68.88,50.0,50.0,-7.52,9.0,21.9,22.94,21.22,22.94,-10.53,9.5,21.13,21.62,20.64,21.0,-8.32,9.7,29.66,29.91,29.44,29.91,8.35,9.1,0.66,0.67,0.63,0.63,1.07,9.2,2009-10
MOZ,Mozambique,Zambezia,Alto_Molocue,Alto Molócuè,-15.63,37.69,gid_-156300000376900000,2009-11-01,2009,11,MZN,"cowpeas (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), maize_meal (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sugar (1 KG, Index Weight = 1), wheat_flour (1 KG, Index Weight = 1)",Jan 2007,Jan 2025,15.72,0.78,0.91,0,,,,,66.67,23.97,21.5,,35.81,36.6,35.03,35.94,8.19,7.2,52.57,53.86,51.29,52.58,10.08,9.2,6.32,6.96,5.68,5.94,-31.62,9.3,32.39,32.64,32.14,32.32,7.28,9.5,50.79,66.67,45.81,66.67,24.56,9.2,23.19,23.97,22.47,23.97,-6.52,9.6,21.16,21.61,20.71,21.5,-4.94,9.7,30.05,30.28,29.81,29.96,7.65,9.2,0.63,0.68,0.62,0.68,7.81,9.2,2009-11
MOZ,Mozambique,Zambezia,Alto_Molocue,Alto Molócuè,-15.63,37.69,gid_-156300000376900000,2009-12-01,2009,12,MZN,"cowpeas (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), maize_meal (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sugar (1 KG, Index Weight = 1), wheat_flour (1 KG, Index Weight = 1)",Jan 2007,Jan 2025,15.72,0.78,0.91,0,,,6.0,,,24.39,,,36.36,37.12,35.68,37.12,11.38,7.4,52.92,54.14,51.71,54.04,9.87,9.4,6.01,6.63,5.4,6.0,-36.41,9.4,32.48,32.71,32.24,32.33,5.56,9.6,65.39,73.74,57.04,65.77,26.73,9.2,24.29,25.03,23.55,24.39,-6.85,9.6,21.67,22.11,21.23,21.43,-2.75,9.7,30.08,30.48,29.86,30.48,8.79,9.2,0.67,0.69,0.65,0.68,8.32,9.3,2009-12
MOZ,Mozambique,Zambezia,Alto_Molocue,Alto Molócuè,-15.63,37.69,gid_-156300000376900000,2010-01-01,2010,1,MZN,"cowpeas (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), maize_meal (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sugar (1 KG, Index Weight = 1), wheat_flour (1 KG, Index Weight = 1)",Jan 2007,Jan 2025,15.72,0.78,0.91,0,,,,,80.0,21.96,,,36.58,37.84,35.91,37.84,9.05,7.5,53.91,55.27,52.55,54.47,10.42,9.5,5.94,6.89,5.34,6.89,-23.6,9.4,32.5,32.73,32.28,32.44,5.64,9.6,68.14,75.35,60.93,74.65,49.25,9.3,24.7,25.44,21.96,21.96,-13.9,9.6,21.62,22.03,21.21,21.78,0.09,9.8,30.58,30.94,30.31,30.94,8.78,9.2,0.7,0.71,0.68,0.71,12.62,9.3,2010-01
MOZ,Mozambique,Zambezia,Alto_Molocue,Alto Molócuè,-15.63,37.69,gid_-156300000376900000,2010-02-01,2010,2,MZN,"cowpeas (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), maize_meal (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sugar (1 KG, Index Weight = 1), wheat_flour (1 KG, Index Weight = 1)",Jan 2007,Jan 2025,15.72,0.78,0.91,0,,,8.0,,,26.1,21.0,,38.1,38.85,36.88,36.88,5.01,7.8,54.74,56.05,53.43,54.23,9.67,9.7,7.11,8.0,6.41,8.0,1.84,9.6,32.59,33.2,32.37,33.2,7.65,9.7,76.11,83.71,68.36,68.36,36.12,9.4,22.09,26.1,21.38,26.1,3.16,9.6,21.91,22.31,21.0,21.0,-2.13,9.8,30.97,31.25,30.5,30.5,6.38,9.3,0.71,0.73,0.7,0.7,11.79,9.3,2010-02
MOZ,Mozambique,Zambezia,Alto_Molocue,Alto Molócuè,-15.63,37.69,gid_-156300000376900000,2010-03-01,2010,3,MZN,"cowpeas (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), maize_meal (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sugar (1 KG, Index Weight = 1), wheat_flour (1 KG, Index Weight = 1)",Jan 2007,Jan 2025,15.72,0.78,0.91,0,,,7.71,,70.0,28.46,,,36.76,38.45,36.0,38.45,8.69,8.1,54.03,55.63,52.75,55.63,10.15,9.8,8.65,9.45,7.71,7.71,10.9,9.7,33.27,33.56,32.89,32.89,5.27,9.7,70.67,77.24,64.11,68.78,43.76,9.5,26.32,28.46,25.38,28.46,11.67,9.7,21.13,23.53,20.67,23.53,10.5,9.9,30.64,30.95,30.33,30.92,8.5,9.3,0.7,0.72,0.69,0.72,15.85,9.4,2010-03
