ISO3,country,adm1_name,adm2_name,mkt_name,lat,lon,geo_id,price_date,year,month,currency,components,start_dense_data,last_survey_point,data_coverage,data_coverage_recent,index_confidence_score,spatially_interpolated,bananas,beans,eggs,fish,maize_flour,meat_beef,meat_goat,millet,onions,oranges,rice,salt,sorghum,tomatoes,watermelons,yam,o_bananas,h_bananas,l_bananas,c_bananas,inflation_bananas,trust_bananas,o_beans,h_beans,l_beans,c_beans,inflation_beans,trust_beans,o_eggs,h_eggs,l_eggs,c_eggs,inflation_eggs,trust_eggs,o_fish,h_fish,l_fish,c_fish,inflation_fish,trust_fish,o_maize_flour,h_maize_flour,l_maize_flour,c_maize_flour,inflation_maize_flour,trust_maize_flour,o_meat_beef,h_meat_beef,l_meat_beef,c_meat_beef,inflation_meat_beef,trust_meat_beef,o_meat_goat,h_meat_goat,l_meat_goat,c_meat_goat,inflation_meat_goat,trust_meat_goat,o_millet,h_millet,l_millet,c_millet,inflation_millet,trust_millet,o_onions,h_onions,l_onions,c_onions,inflation_onions,trust_onions,o_oranges,h_oranges,l_oranges,c_oranges,inflation_oranges,trust_oranges,o_rice,h_rice,l_rice,c_rice,inflation_rice,trust_rice,o_salt,h_salt,l_salt,c_salt,inflation_salt,trust_salt,o_sorghum,h_sorghum,l_sorghum,c_sorghum,inflation_sorghum,trust_sorghum,o_tomatoes,h_tomatoes,l_tomatoes,c_tomatoes,inflation_tomatoes,trust_tomatoes,o_watermelons,h_watermelons,l_watermelons,c_watermelons,inflation_watermelons,trust_watermelons,o_yam,h_yam,l_yam,c_yam,inflation_yam,trust_yam,o_food_price_index,h_food_price_index,l_food_price_index,c_food_price_index,inflation_food_price_index,trust_food_price_index,year_month
NGA,Nigeria,Abia,Oboma Ngwa,Aba,5.15,7.36,gid_5150000073600000,2014-07-01,2014,7,NGN,"bananas (1.3 KG, Index Weight = 0.77), beans (2.5 KG, Index Weight = 0.4), eggs (30 pcs, Index Weight = 0.33), fish (1 KG, Index Weight = 1), maize_flour (2.1 KG, Index Weight = 0.48), meat_beef (1 KG, Index Weight = 1), meat_goat (1 KG, Index Weight = 1), millet (2.6 KG, Index Weight = 0.38), onions (0.5 KG, Index Weight = 2), oranges (400 G, Index Weight = 2.5), rice (2.8 KG, Index Weight = 0.36), salt (250 G, Index Weight = 4), sorghum (2.7 KG, Index Weight = 0.37), tomatoes (0.5 KG, Index Weight = 2), watermelons (2.1 KG, Index Weight = 0.48), yam (2.5 KG, Index Weight = 0.4)",Aug 2013,Jun 2025,20.89,35.15,0.91,0,,,,,,,,,,,264.0,,,,,,110.9,112.98,108.83,112.38,,8.7,446.26,471.06,424.02,471.06,,8.5,530.35,564.76,516.91,564.76,,9.5,81.62,83.99,79.25,82.98,,8.2,256.18,265.18,247.18,263.87,,8.6,600.28,613.86,586.7,609.78,,9.3,607.92,619.66,596.18,619.01,,9.3,229.6,240.95,218.62,240.95,,8.7,47.44,49.6,46.05,49.6,,8.7,43.51,45.0,42.46,45.0,,9.0,316.08,369.83,302.69,369.83,,9.4,223.22,225.5,220.93,222.83,,8.8,210.26,218.81,201.7,217.08,,8.6,29.37,30.33,28.41,29.05,,9.0,80.26,83.99,78.44,83.99,,8.5,191.2,200.98,183.61,200.98,,8.9,0.51,0.53,0.5,0.53,,9.0,2014-07
NGA,Nigeria,Abia,Oboma Ngwa,Aba,5.15,7.36,gid_5150000073600000,2014-08-01,2014,8,NGN,"bananas (1.3 KG, Index Weight = 0.77), beans (2.5 KG, Index Weight = 0.4), eggs (30 pcs, Index Weight = 0.33), fish (1 KG, Index Weight = 1), maize_flour (2.1 KG, Index Weight = 0.48), meat_beef (1 KG, Index Weight = 1), meat_goat (1 KG, Index Weight = 1), millet (2.6 KG, Index Weight = 0.38), onions (0.5 KG, Index Weight = 2), oranges (400 G, Index Weight = 2.5), rice (2.8 KG, Index Weight = 0.36), salt (250 G, Index Weight = 4), sorghum (2.7 KG, Index Weight = 0.37), tomatoes (0.5 KG, Index Weight = 2), watermelons (2.1 KG, Index Weight = 0.48), yam (2.5 KG, Index Weight = 0.4)",Aug 2013,Jun 2025,20.89,35.15,0.91,0,,,,,,,,343.0,,,330.0,,,,,350.0,113.85,117.55,111.72,117.55,16.35,8.7,486.35,633.2,462.68,633.2,47.43,8.5,589.4,623.54,570.11,623.54,30.02,9.5,84.73,89.36,82.25,89.36,29.07,8.3,270.62,293.3,261.22,293.3,21.22,8.7,618.31,682.8,604.34,682.8,26.28,9.4,628.47,686.29,616.36,686.29,27.12,9.4,249.39,343.0,237.79,343.0,55.99,8.8,50.83,53.99,49.43,53.99,20.27,8.8,45.98,48.41,44.92,48.41,19.44,9.0,401.76,444.43,369.49,444.43,24.78,9.5,222.61,225.2,220.42,225.2,-1.28,9.0,223.63,281.5,214.64,281.5,38.12,8.7,29.3,32.8,28.58,32.8,25.74,9.0,86.86,91.47,84.51,91.47,33.46,8.5,207.37,236.41,198.16,236.41,55.16,8.9,0.54,0.59,0.53,0.59,20.78,9.0,2014-08
NGA,Nigeria,Abia,Oboma Ngwa,Aba,5.15,7.36,gid_5150000073600000,2014-09-01,2014,9,NGN,"bananas (1.3 KG, Index Weight = 0.77), beans (2.5 KG, Index Weight = 0.4), eggs (30 pcs, Index Weight = 0.33), fish (1 KG, Index Weight = 1), maize_flour (2.1 KG, Index Weight = 0.48), meat_beef (1 KG, Index Weight = 1), meat_goat (1 KG, Index Weight = 1), millet (2.6 KG, Index Weight = 0.38), onions (0.5 KG, Index Weight = 2), oranges (400 G, Index Weight = 2.5), rice (2.8 KG, Index Weight = 0.36), salt (250 G, Index Weight = 4), sorghum (2.7 KG, Index Weight = 0.37), tomatoes (0.5 KG, Index Weight = 2), watermelons (2.1 KG, Index Weight = 0.48), yam (2.5 KG, Index Weight = 0.4)",Aug 2013,Jun 2025,20.89,35.15,0.91,0,,,,,,,,,,,573.0,,,,,403.0,120.4,122.6,118.2,122.56,20.77,8.7,688.0,716.21,634.72,634.72,51.06,8.6,647.77,681.54,625.97,681.54,40.82,9.5,92.78,95.54,90.21,95.54,36.24,8.3,310.44,335.42,300.32,335.42,40.21,8.7,711.76,725.14,697.9,697.9,26.48,9.4,715.29,740.78,689.79,703.16,27.86,9.4,371.41,386.09,326.91,326.91,52.38,8.8,56.05,58.35,54.68,58.35,27.69,8.9,50.1,51.78,49.1,51.78,26.49,9.0,486.16,522.46,456.23,522.46,47.13,9.5,225.61,227.86,222.32,222.32,-3.84,9.1,304.72,315.51,282.92,282.92,42.7,8.7,34.23,34.85,33.62,33.97,35.13,9.0,96.17,98.99,93.36,98.77,40.75,8.5,253.38,271.31,235.44,270.13,78.58,8.9,0.63,0.64,0.61,0.61,23.73,9.0,2014-09
NGA,Nigeria,Abia,Oboma Ngwa,Aba,5.15,7.36,gid_5150000073600000,2014-10-01,2014,10,NGN,"bananas (1.3 KG, Index Weight = 0.77), beans (2.5 KG, Index Weight = 0.4), eggs (30 pcs, Index Weight = 0.33), fish (1 KG, Index Weight = 1), maize_flour (2.1 KG, Index Weight = 0.48), meat_beef (1 KG, Index Weight = 1), meat_goat (1 KG, Index Weight = 1), millet (2.6 KG, Index Weight = 0.38), onions (0.5 KG, Index Weight = 2), oranges (400 G, Index Weight = 2.5), rice (2.8 KG, Index Weight = 0.36), salt (250 G, Index Weight = 4), sorghum (2.7 KG, Index Weight = 0.37), tomatoes (0.5 KG, Index Weight = 2), watermelons (2.1 KG, Index Weight = 0.48), yam (2.5 KG, Index Weight = 0.4)",Aug 2013,Jun 2025,20.89,35.15,0.91,0,,,,,,,,,,,,,,,,237.0,125.5,127.81,123.2,125.96,23.57,8.7,640.99,668.75,610.44,610.44,45.93,8.6,726.47,749.16,703.77,708.84,43.06,9.5,99.14,101.9,96.38,99.26,40.41,8.3,359.92,371.13,323.48,323.48,35.44,8.7,713.67,727.42,699.91,705.36,25.6,9.4,716.75,737.83,695.68,710.99,27.07,9.4,320.33,332.93,307.73,315.78,47.82,8.8,60.46,61.88,59.04,60.4,26.32,8.9,53.96,54.98,52.95,53.46,27.31,9.0,566.64,595.47,537.82,542.52,49.07,9.5,221.94,225.98,219.65,225.98,-3.42,9.1,285.67,296.32,268.5,268.5,37.15,8.7,34.83,36.92,31.75,31.75,27.65,9.0,103.45,106.01,100.89,102.54,44.08,8.6,287.84,301.76,273.93,300.33,100.19,8.9,0.62,0.63,0.61,0.61,23.5,9.0,2014-10
NGA,Nigeria,Abia,Oboma Ngwa,Aba,5.15,7.36,gid_5150000073600000,2014-11-01,2014,11,NGN,"bananas (1.3 KG, Index Weight = 0.77), beans (2.5 KG, Index Weight = 0.4), eggs (30 pcs, Index Weight = 0.33), fish (1 KG, Index Weight = 1), maize_flour (2.1 KG, Index Weight = 0.48), meat_beef (1 KG, Index Weight = 1), meat_goat (1 KG, Index Weight = 1), millet (2.6 KG, Index Weight = 0.38), onions (0.5 KG, Index Weight = 2), oranges (400 G, Index Weight = 2.5), rice (2.8 KG, Index Weight = 0.36), salt (250 G, Index Weight = 4), sorghum (2.7 KG, Index Weight = 0.37), tomatoes (0.5 KG, Index Weight = 2), watermelons (2.1 KG, Index Weight = 0.48), yam (2.5 KG, Index Weight = 0.4)",Aug 2013,Jun 2025,20.89,35.15,0.91,0,,,,,,,,,,,,,,,,203.0,128.25,130.65,123.9,123.9,22.3,8.7,607.65,634.48,580.81,587.99,43.1,8.6,727.51,745.89,706.64,706.64,41.66,9.5,101.92,104.84,97.52,97.52,38.55,8.3,321.0,331.11,310.88,314.74,33.41,8.7,711.85,725.94,697.75,706.38,25.73,9.4,726.22,743.9,708.55,716.44,28.02,9.4,317.0,329.45,304.54,305.14,44.94,8.9,61.69,63.23,59.86,59.86,23.89,8.9,55.03,56.12,53.01,53.01,25.73,9.0,555.73,577.78,533.67,569.83,54.26,9.5,226.43,228.91,223.94,225.27,-3.72,9.1,264.92,274.96,254.88,257.3,33.71,8.7,30.9,31.92,29.89,30.37,22.38,9.0,105.29,107.62,101.73,101.73,43.53,8.6,314.26,327.7,276.94,276.94,84.67,8.9,0.62,0.63,0.61,0.61,22.8,9.0,2014-11
NGA,Nigeria,Abia,Oboma Ngwa,Aba,5.15,7.36,gid_5150000073600000,2014-12-01,2014,12,NGN,"bananas (1.3 KG, Index Weight = 0.77), beans (2.5 KG, Index Weight = 0.4), eggs (30 pcs, Index Weight = 0.33), fish (1 KG, Index Weight = 1), maize_flour (2.1 KG, Index Weight = 0.48), meat_beef (1 KG, Index Weight = 1), meat_goat (1 KG, Index Weight = 1), millet (2.6 KG, Index Weight = 0.38), onions (0.5 KG, Index Weight = 2), oranges (400 G, Index Weight = 2.5), rice (2.8 KG, Index Weight = 0.36), salt (250 G, Index Weight = 4), sorghum (2.7 KG, Index Weight = 0.37), tomatoes (0.5 KG, Index Weight = 2), watermelons (2.1 KG, Index Weight = 0.48), yam (2.5 KG, Index Weight = 0.4)",Aug 2013,Jun 2025,20.89,35.15,0.91,0,,,,,,,,295.0,,,594.0,,,,,267.0,124.19,126.51,121.87,124.75,22.88,8.7,585.81,611.96,559.67,576.26,41.04,8.7,720.85,737.92,703.78,724.36,44.84,9.5,98.28,101.11,95.46,98.93,40.13,8.3,313.51,323.45,303.56,310.61,32.06,8.7,714.19,728.53,699.85,726.74,28.49,9.4,726.88,742.72,711.04,739.35,31.3,9.4,300.66,312.85,288.48,295.0,41.38,8.9,60.27,61.91,58.75,61.91,28.63,9.0,53.75,54.76,52.74,54.13,28.66,9.0,586.16,604.29,568.03,594.0,60.43,9.5,225.41,227.8,223.02,227.6,-2.93,9.2,255.17,264.86,245.49,250.16,31.35,8.8,29.6,30.91,28.29,29.45,20.11,9.1,102.26,104.84,99.68,104.59,46.37,8.6,267.86,286.76,248.96,267.0,78.48,8.9,0.61,0.62,0.61,0.62,24.34,9.1,2014-12
NGA,Nigeria,Abia,Oboma Ngwa,Aba,5.15,7.36,gid_5150000073600000,2015-01-01,2015,1,NGN,"bananas (1.3 KG, Index Weight = 0.77), beans (2.5 KG, Index Weight = 0.4), eggs (30 pcs, Index Weight = 0.33), fish (1 KG, Index Weight = 1), maize_flour (2.1 KG, Index Weight = 0.48), meat_beef (1 KG, Index Weight = 1), meat_goat (1 KG, Index Weight = 1), millet (2.6 KG, Index Weight = 0.38), onions (0.5 KG, Index Weight = 2), oranges (400 G, Index Weight = 2.5), rice (2.8 KG, Index Weight = 0.36), salt (250 G, Index Weight = 4), sorghum (2.7 KG, Index Weight = 0.37), tomatoes (0.5 KG, Index Weight = 2), watermelons (2.1 KG, Index Weight = 0.48), yam (2.5 KG, Index Weight = 0.4)",Aug 2013,Jun 2025,20.89,35.15,0.91,0,,,,,,,,295.0,,,618.0,,,,,,125.59,127.96,123.06,123.06,19.18,8.8,577.77,603.78,551.76,576.37,40.87,8.7,736.76,751.39,712.02,712.02,38.51,9.5,100.34,103.26,96.84,96.84,33.57,8.3,311.32,321.25,301.38,310.36,31.02,8.8,738.58,753.45,710.14,710.14,22.53,9.4,755.91,771.36,721.25,721.25,24.49,9.4,296.06,308.08,284.03,295.0,41.08,8.9,63.16,64.76,60.96,60.96,23.83,9.0,55.07,56.14,53.52,53.52,24.74,9.0,608.57,624.96,592.19,617.27,62.79,9.5,227.84,230.23,224.89,224.89,-4.25,9.3,249.79,259.29,240.29,252.28,32.5,8.8,29.32,30.42,28.35,30.42,22.68,9.1,106.99,109.5,100.81,100.81,36.71,8.6,258.18,268.93,247.42,259.66,68.72,8.9,0.63,0.64,0.61,0.61,20.9,9.1,2015-01
NGA,Nigeria,Abia,Oboma Ngwa,Aba,5.15,7.36,gid_5150000073600000,2015-02-01,2015,2,NGN,"bananas (1.3 KG, Index Weight = 0.77), beans (2.5 KG, Index Weight = 0.4), eggs (30 pcs, Index Weight = 0.33), fish (1 KG, Index Weight = 1), maize_flour (2.1 KG, Index Weight = 0.48), meat_beef (1 KG, Index Weight = 1), meat_goat (1 KG, Index Weight = 1), millet (2.6 KG, Index Weight = 0.38), onions (0.5 KG, Index Weight = 2), oranges (400 G, Index Weight = 2.5), rice (2.8 KG, Index Weight = 0.36), salt (250 G, Index Weight = 4), sorghum (2.7 KG, Index Weight = 0.37), tomatoes (0.5 KG, Index Weight = 2), watermelons (2.1 KG, Index Weight = 0.48), yam (2.5 KG, Index Weight = 0.4)",Aug 2013,Jun 2025,20.89,35.15,0.91,0,,,,,,,,295.0,,,,,,,,267.0,123.5,125.84,121.16,125.21,18.83,8.8,582.14,608.57,555.7,577.98,41.56,8.7,709.7,726.58,692.82,713.65,36.92,9.5,97.56,100.4,94.71,99.8,33.02,8.3,312.77,322.82,302.72,314.98,32.72,8.8,712.95,727.12,698.78,723.17,21.41,9.4,722.67,741.06,704.27,735.73,22.62,9.4,295.33,307.62,283.04,295.0,42.32,9.0,61.25,62.81,59.69,61.07,26.71,9.1,53.78,54.82,52.74,54.04,26.23,9.1,631.17,647.66,580.85,580.85,53.78,9.5,224.61,227.0,222.23,224.24,-3.9,9.3,255.9,265.58,246.22,253.99,34.68,8.8,31.18,31.95,30.41,31.05,26.68,9.1,99.87,103.11,96.72,103.11,33.62,8.6,255.09,267.0,244.85,267.0,68.1,9.0,0.61,0.62,0.6,0.62,20.43,9.1,2015-02
NGA,Nigeria,Abia,Oboma Ngwa,Aba,5.15,7.36,gid_5150000073600000,2015-03-01,2015,3,NGN,"bananas (1.3 KG, Index Weight = 0.77), beans (2.5 KG, Index Weight = 0.4), eggs (30 pcs, Index Weight = 0.33), fish (1 KG, Index Weight = 1), maize_flour (2.1 KG, Index Weight = 0.48), meat_beef (1 KG, Index Weight = 1), meat_goat (1 KG, Index Weight = 1), millet (2.6 KG, Index Weight = 0.38), onions (0.5 KG, Index Weight = 2), oranges (400 G, Index Weight = 2.5), rice (2.8 KG, Index Weight = 0.36), salt (250 G, Index Weight = 4), sorghum (2.7 KG, Index Weight = 0.37), tomatoes (0.5 KG, Index Weight = 2), watermelons (2.1 KG, Index Weight = 0.48), yam (2.5 KG, Index Weight = 0.4)",Aug 2013,Jun 2025,20.89,35.15,0.91,0,,,,,,,,295.0,,,,,,,,,126.52,128.92,124.12,127.47,17.73,8.8,584.27,611.19,557.36,602.3,41.93,8.8,727.39,741.72,708.84,708.84,34.21,9.5,101.65,104.61,98.69,100.97,30.56,8.3,319.66,329.98,309.34,323.38,33.14,8.8,730.44,745.03,715.84,736.11,21.81,9.4,748.81,765.64,731.98,752.65,23.42,9.4,299.52,312.07,286.97,295.0,37.76,9.0,61.67,63.29,59.07,59.07,25.81,9.2,54.67,55.76,53.51,53.51,25.52,9.1,570.31,597.73,542.89,558.26,52.78,9.5,223.92,226.2,221.63,224.89,-2.78,9.3,257.48,267.32,247.63,262.09,34.5,8.8,31.98,33.0,30.71,30.71,22.7,9.1,105.34,108.09,102.6,104.52,30.08,8.6,272.72,284.57,242.49,242.49,47.15,9.0,0.62,0.63,0.61,0.62,20.21,9.1,2015-03
NGA,Nigeria,Abia,Oboma Ngwa,Aba,5.15,7.36,gid_5150000073600000,2015-04-01,2015,4,NGN,"bananas (1.3 KG, Index Weight = 0.77), beans (2.5 KG, Index Weight = 0.4), eggs (30 pcs, Index Weight = 0.33), fish (1 KG, Index Weight = 1), maize_flour (2.1 KG, Index Weight = 0.48), meat_beef (1 KG, Index Weight = 1), meat_goat (1 KG, Index Weight = 1), millet (2.6 KG, Index Weight = 0.38), onions (0.5 KG, Index Weight = 2), oranges (400 G, Index Weight = 2.5), rice (2.8 KG, Index Weight = 0.36), salt (250 G, Index Weight = 4), sorghum (2.7 KG, Index Weight = 0.37), tomatoes (0.5 KG, Index Weight = 2), watermelons (2.1 KG, Index Weight = 0.48), yam (2.5 KG, Index Weight = 0.4)",Aug 2013,Jun 2025,20.89,35.15,0.91,0,,,,,,,,295.0,,,545.0,,,,,217.0,129.41,131.88,125.91,125.91,15.53,8.8,617.5,645.87,589.13,616.49,42.35,8.8,703.71,719.13,688.3,694.48,29.29,9.6,102.9,105.95,97.77,97.77,24.87,8.3,329.9,340.62,319.18,323.64,31.29,8.8,749.56,764.64,722.92,722.92,19.32,9.4,763.23,778.64,741.03,741.03,20.71,9.4,295.44,308.23,282.64,304.11,38.65,9.0,59.0,60.52,57.48,57.62,23.26,9.3,53.6,54.69,52.52,52.53,22.95,9.1,553.86,572.18,535.55,543.88,51.31,9.5,225.08,227.3,222.86,225.91,-1.13,9.4,268.45,278.7,258.2,266.21,34.4,8.9,31.14,32.02,30.27,30.45,18.09,9.1,105.99,108.38,101.03,101.03,24.64,8.6,241.9,257.49,217.0,217.0,26.9,9.0,0.63,0.64,0.61,0.61,18.65,9.1,2015-04
