ISO3,country,adm1_name,adm2_name,mkt_name,lat,lon,geo_id,price_date,year,month,currency,components,start_dense_data,last_survey_point,data_coverage,data_coverage_recent,index_confidence_score,spatially_interpolated,maize,millet,rice,sorghum,o_maize,h_maize,l_maize,c_maize,inflation_maize,trust_maize,o_millet,h_millet,l_millet,c_millet,inflation_millet,trust_millet,o_rice,h_rice,l_rice,c_rice,inflation_rice,trust_rice,o_sorghum,h_sorghum,l_sorghum,c_sorghum,inflation_sorghum,trust_sorghum,o_food_price_index,h_food_price_index,l_food_price_index,c_food_price_index,inflation_food_price_index,trust_food_price_index,year_month
SEN,Senegal,Tambacounda,Bakel,Bakel,14.9,-12.46,gid_149000000-124600000,2007-01-01,2007,1,XOF,"maize (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Apr 2025,53.62,43.82,0.84,0,212.5,200.0,225.0,195.0,212.5,220.38,204.81,212.5,,10.0,200.0,206.07,193.94,200.0,,10.0,224.97,228.89,220.83,225.0,,10.0,195.0,202.78,187.28,195.0,,10.0,0.87,0.89,0.85,0.87,,10.0,2007-01
SEN,Senegal,Tambacounda,Bakel,Bakel,14.9,-12.46,gid_149000000-124600000,2007-02-01,2007,2,XOF,"maize (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Apr 2025,53.62,43.82,0.84,0,200.0,200.0,225.0,,212.6,220.38,200.0,200.0,,9.7,200.0,206.07,193.94,200.0,,10.0,224.9,228.93,220.86,225.0,,10.0,195.03,202.78,187.28,195.0,,10.0,0.87,0.89,0.85,0.86,,9.7,2007-02
SEN,Senegal,Tambacounda,Bakel,Bakel,14.9,-12.46,gid_149000000-124600000,2007-03-01,2007,3,XOF,"maize (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Apr 2025,53.62,43.82,0.84,0,212.5,212.5,257.5,195.0,198.91,212.5,189.01,212.5,,9.8,200.0,212.5,193.87,212.5,,10.0,225.36,257.5,222.31,257.5,,10.0,194.98,202.35,187.61,195.0,,10.0,0.85,0.92,0.83,0.92,,9.7,2007-03
SEN,Senegal,Tambacounda,Bakel,Bakel,14.9,-12.46,gid_149000000-124600000,2007-05-01,2007,5,XOF,"maize (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Apr 2025,53.62,43.82,0.84,0,225.0,,225.0,,209.36,219.08,201.38,219.08,,9.1,204.65,211.0,198.29,202.22,,9.6,235.07,245.87,224.27,225.0,,9.2,195.21,201.88,188.54,196.06,,9.3,0.88,0.91,0.85,0.88,,9.1,2007-05
SEN,Senegal,Tambacounda,Bakel,Bakel,14.9,-12.46,gid_149000000-124600000,2007-06-01,2007,6,XOF,"maize (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Apr 2025,53.62,43.82,0.84,0,200.0,200.0,250.0,,220.02,229.86,200.0,200.0,,9.1,202.2,208.51,195.89,200.0,,9.7,233.87,250.0,225.37,250.0,,9.3,196.08,202.45,189.71,195.84,,9.4,0.88,0.9,0.86,0.88,,9.2,2007-06
SEN,Senegal,Tambacounda,Bakel,Bakel,14.9,-12.46,gid_149000000-124600000,2007-07-01,2007,7,XOF,"maize (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Apr 2025,53.62,43.82,0.84,0,200.0,200.0,,193.33,198.55,211.19,185.92,200.0,,9.1,199.98,206.27,193.7,200.0,,9.8,247.68,257.83,237.54,245.78,,9.4,195.83,201.88,189.77,193.33,,9.1,0.88,0.9,0.86,0.88,,9.2,2007-07
SEN,Senegal,Tambacounda,Bakel,Bakel,14.9,-12.46,gid_149000000-124600000,2007-08-01,2007,8,XOF,"maize (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Apr 2025,53.62,43.82,0.84,0,200.0,200.0,250.0,,199.66,207.04,192.29,200.0,,9.2,200.0,206.32,193.67,200.0,,9.8,238.28,250.0,230.84,250.0,,9.5,193.27,198.92,187.62,190.29,,9.2,0.88,0.9,0.86,0.88,,9.2,2007-08
SEN,Senegal,Tambacounda,Bakel,Bakel,14.9,-12.46,gid_149000000-124600000,2007-09-01,2007,9,XOF,"maize (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Apr 2025,53.62,43.82,0.84,0,200.0,200.0,,187.5,199.93,207.23,192.63,200.0,,9.2,200.0,206.37,193.63,200.0,,9.8,254.97,262.43,247.52,248.62,,9.5,190.23,195.47,185.0,187.5,,9.0,0.88,0.9,0.86,0.87,,9.2,2007-09
SEN,Senegal,Tambacounda,Bakel,Bakel,14.9,-12.46,gid_149000000-124600000,2007-10-01,2007,10,XOF,"maize (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Apr 2025,53.62,43.82,0.84,0,,,250.0,190.0,199.99,207.29,192.69,194.4,,9.1,200.0,206.41,193.59,200.0,,9.6,247.85,253.95,241.75,250.0,,9.4,187.45,192.31,182.59,190.0,,9.1,0.87,0.89,0.85,0.87,,9.2,2007-10
SEN,Senegal,Tambacounda,Bakel,Bakel,14.9,-12.46,gid_149000000-124600000,2007-11-01,2007,11,XOF,"maize (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Apr 2025,53.62,43.82,0.84,0,,200.0,,190.0,193.89,201.61,186.16,188.95,,9.1,200.0,206.45,193.55,200.0,,9.4,250.75,256.61,246.07,256.61,,9.4,190.1,194.74,185.46,190.0,,8.9,0.87,0.89,0.85,0.87,,9.1,2007-11
SEN,Senegal,Tambacounda,Bakel,Bakel,14.9,-12.46,gid_149000000-124600000,2008-01-01,2008,1,XOF,"maize (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Apr 2025,53.62,43.82,0.84,0,,200.0,,200.0,189.23,196.16,182.3,193.59,-8.9,8.8,200.0,206.53,193.47,200.0,0.0,9.0,264.73,277.25,258.9,277.25,23.22,9.3,194.03,200.0,189.87,200.0,2.56,8.6,0.89,0.91,0.87,0.91,4.6,8.9,2008-01
SEN,Senegal,Tambacounda,Bakel,Bakel,14.9,-12.46,gid_149000000-124600000,2008-02-01,2008,2,XOF,"maize (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Apr 2025,53.62,43.82,0.84,0,200.0,200.0,275.0,,193.97,201.47,186.48,200.0,0.0,8.8,200.0,206.57,193.43,200.0,0.0,9.0,275.65,282.65,268.65,275.0,22.22,9.3,200.1,203.88,196.32,197.83,1.45,8.6,0.92,0.94,0.89,0.91,6.44,8.9,2008-02
SEN,Senegal,Tambacounda,Bakel,Bakel,14.9,-12.46,gid_149000000-124600000,2008-03-01,2008,3,XOF,"maize (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Apr 2025,53.62,43.82,0.84,0,200.0,,,200.0,200.72,208.82,192.62,200.0,-5.88,8.6,200.0,208.35,193.39,208.35,-1.95,9.0,275.27,305.54,270.07,305.54,18.66,9.1,197.71,201.22,194.2,200.0,2.56,8.4,0.91,0.96,0.89,0.96,4.15,8.8,2008-03
