ISO3,country,adm1_name,adm2_name,mkt_name,lat,lon,geo_id,price_date,year,month,currency,components,start_dense_data,last_survey_point,data_coverage,data_coverage_recent,index_confidence_score,spatially_interpolated,maize,oil,rice,sorghum,o_maize,h_maize,l_maize,c_maize,inflation_maize,trust_maize,o_oil,h_oil,l_oil,c_oil,inflation_oil,trust_oil,o_rice,h_rice,l_rice,c_rice,inflation_rice,trust_rice,o_sorghum,h_sorghum,l_sorghum,c_sorghum,inflation_sorghum,trust_sorghum,o_food_price_index,h_food_price_index,l_food_price_index,c_food_price_index,inflation_food_price_index,trust_food_price_index,year_month
SOM,Somalia,Shabelle Hoose,Afgooye,Afgooye,2.14,45.12,gid_21400000451200000,2017-04-01,2017,4,SOS,"maize (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Jun 2025,19.85,20.79,0.9,0,9000.0,23000.0,,13666.0,7978.66,8377.46,7579.86,7948.04,39.71,8.2,43522.79,44288.57,42996.31,44288.57,10.15,7.5,14228.18,14636.09,13820.27,13950.85,3.91,7.6,10468.45,11496.14,9909.14,11496.14,84.26,8.2,0.9,0.92,0.89,0.92,18.49,7.9,2017-04
SOM,Somalia,Shabelle Hoose,Afgooye,Afgooye,2.14,45.12,gid_21400000451200000,2017-05-01,2017,5,SOS,"maize (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Jun 2025,19.85,20.79,0.9,0,11800.0,23000.0,,13333.0,8128.49,8513.0,7743.99,8167.77,21.91,8.4,44278.09,44855.92,43700.26,44064.65,11.36,7.8,14016.36,14393.71,13639.0,13865.35,2.63,8.2,11600.65,12298.79,10902.5,11221.81,80.52,8.7,0.93,0.94,0.91,0.91,17.16,8.3,2017-05
SOM,Somalia,Shabelle Hoose,Afgooye,Afgooye,2.14,45.12,gid_21400000451200000,2017-06-01,2017,6,SOS,"maize (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Jun 2025,19.85,20.79,0.9,0,,24000.0,13000.0,16133.0,8304.01,8680.18,7927.83,8493.22,23.27,8.8,43992.33,44514.29,42479.44,42479.44,7.68,8.4,13810.06,14160.13,13460.0,13891.31,1.76,8.4,11348.8,11959.66,9638.89,9638.89,55.14,9.1,0.91,0.93,0.88,0.88,12.53,8.7,2017-06
SOM,Somalia,Shabelle Hoose,Afgooye,Afgooye,2.14,45.12,gid_21400000451200000,2017-07-01,2017,7,SOS,"maize (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Jun 2025,19.85,20.79,0.9,0,11000.0,,,16000.0,8654.77,9028.36,7413.2,7413.2,22.39,8.9,42280.35,44170.59,41547.52,44170.59,7.7,8.6,13841.05,14758.42,13512.1,14758.42,4.32,8.8,9415.94,10382.96,8690.44,10382.96,52.54,9.2,0.87,0.91,0.85,0.91,12.8,8.9,2017-07
SOM,Somalia,Shabelle Hoose,Afgooye,Afgooye,2.14,45.12,gid_21400000451200000,2017-08-01,2017,8,SOS,"maize (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Jun 2025,19.85,20.79,0.9,0,11211.0,24500.0,12000.0,,7189.28,7607.22,6771.34,7287.66,16.15,9.2,44022.62,45014.87,43030.38,44153.9,7.02,9.0,14892.89,15337.41,14448.38,14736.5,4.2,9.2,10114.97,10895.56,9334.37,10347.38,45.21,9.4,0.91,0.93,0.88,0.9,11.23,9.2,2017-08
SOM,Somalia,Shabelle Hoose,Afgooye,Afgooye,2.14,45.12,gid_21400000451200000,2017-09-01,2017,9,SOS,"maize (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Jun 2025,19.85,20.79,0.9,0,10000.0,20000.0,13333.0,23000.0,7142.13,7499.56,6784.7,7165.02,19.56,9.3,44352.65,45145.12,43560.18,43928.02,7.15,9.2,14915.62,15323.34,14464.36,14464.36,9.43,9.5,10341.34,11016.34,9666.33,10239.11,44.19,9.6,0.92,0.93,0.9,0.9,12.61,9.4,2017-09
SOM,Somalia,Shabelle Hoose,Afgooye,Afgooye,2.14,45.12,gid_21400000451200000,2017-10-01,2017,10,SOS,"maize (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Jun 2025,19.85,20.79,0.9,0,27000.0,,13300.0,20000.0,7091.99,7435.91,6748.07,7100.51,22.2,9.4,44124.29,44796.69,43451.89,43758.4,7.6,9.3,14411.43,14804.51,14018.35,14407.9,16.96,9.7,10234.27,10815.09,9653.46,10147.21,42.89,9.7,0.89,0.91,0.87,0.89,14.44,9.6,2017-10
SOM,Somalia,Shabelle Hoose,Afgooye,Afgooye,2.14,45.12,gid_21400000451200000,2017-11-01,2017,11,SOS,"maize (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Jun 2025,19.85,20.79,0.9,0,25000.0,24000.0,13300.0,20000.0,7036.85,7356.21,6557.22,6557.22,5.95,9.6,43363.62,43954.77,42772.48,43774.1,4.61,9.6,14280.14,14642.23,13918.05,14272.06,10.17,9.9,10063.97,10569.94,9557.99,10008.34,24.19,9.9,0.88,0.89,0.86,0.88,8.06,9.8,2017-11
SOM,Somalia,Shabelle Hoose,Afgooye,Afgooye,2.14,45.12,gid_21400000451200000,2017-12-01,2017,12,SOS,"maize (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Jun 2025,19.85,20.79,0.9,0,,,,18000.0,6397.41,6700.81,6094.01,6377.98,-3.28,9.6,43606.06,44154.21,43057.91,43090.44,1.35,9.7,14247.92,14583.64,13912.21,14385.71,8.08,9.9,9920.36,10364.29,9266.14,9266.14,2.23,9.9,0.88,0.9,0.86,0.86,2.29,9.8,2017-12
SOM,Somalia,Shabelle Hoose,Afgooye,Afgooye,2.14,45.12,gid_21400000451200000,2018-01-01,2018,1,SOS,"maize (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Jun 2025,19.85,20.79,0.9,0,,19700.0,14300.0,,6245.53,6517.57,5973.49,6258.64,-7.74,9.7,43219.24,45512.91,42690.96,45512.91,4.56,9.8,14415.23,14793.07,14092.06,14793.07,9.5,10.0,9098.52,10939.45,8662.02,10939.45,8.04,10.0,0.86,0.92,0.85,0.92,4.81,9.9,2018-01
