ISO3,country,adm1_name,adm2_name,mkt_name,lat,lon,geo_id,price_date,year,month,currency,components,start_dense_data,last_survey_point,data_coverage,data_coverage_recent,index_confidence_score,spatially_interpolated,beans,groundnuts,maize,millet,rice,sorghum,o_beans,h_beans,l_beans,c_beans,inflation_beans,trust_beans,o_groundnuts,h_groundnuts,l_groundnuts,c_groundnuts,inflation_groundnuts,trust_groundnuts,o_maize,h_maize,l_maize,c_maize,inflation_maize,trust_maize,o_millet,h_millet,l_millet,c_millet,inflation_millet,trust_millet,o_rice,h_rice,l_rice,c_rice,inflation_rice,trust_rice,o_sorghum,h_sorghum,l_sorghum,c_sorghum,inflation_sorghum,trust_sorghum,o_food_price_index,h_food_price_index,l_food_price_index,c_food_price_index,inflation_food_price_index,trust_food_price_index
MLI,Mali,Kidal,Kidal,Abeibara,18.44,1.42,gid_18440000014200000,2007-01-01,2007,1,XOF,"beans (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Apr 2025,38.04,39.54,0.88,0,,,,,,,407.05,415.25,399.16,407.06,,7.4,620.56,634.69,606.95,620.58,,7.3,162.43,173.39,161.79,164.73,,7.2,216.05,225.37,206.83,216.09,,7.6,349.65,358.67,341.05,349.68,,8,199.77,207.7,191.72,199.77,,7.5,0.96,0.98,0.95,0.97,,7.7
MLI,Mali,Kidal,Kidal,Abeibara,18.44,1.42,gid_18440000014200000,2007-02-01,2007,2,XOF,"beans (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Apr 2025,38.04,39.54,0.88,0,,,,,,,407.22,415.26,399.17,409.98,,7.4,620.85,634.72,606.98,622.71,,7.3,169.97,175.85,164.09,175.31,,7.2,216.14,225.42,206.87,217.5,,7.6,349.89,358.7,341.07,350.44,,8,199.71,207.7,191.72,199.63,,7.5,0.97,0.99,0.95,0.97,,7.7
MLI,Mali,Kidal,Kidal,Abeibara,18.44,1.42,gid_18440000014200000,2007-03-01,2007,3,XOF,"beans (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Apr 2025,38.04,39.54,0.88,0,,,,,,,410.39,417.65,403.12,414.17,,7.4,623.16,638.29,608.03,636.66,,7.3,181.4,188,175.25,188,,7.2,217.28,225.99,208.57,220.43,,7.6,350.52,358.72,342.32,348.78,,8,199.66,207.13,192.19,200.12,,7.5,0.98,1,0.96,0.99,,7.7
MLI,Mali,Kidal,Kidal,Abeibara,18.44,1.42,gid_18440000014200000,2007-04-01,2007,4,XOF,"beans (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Apr 2025,38.04,39.54,0.88,0,,,,,,,414.83,421.51,388.02,388.02,,7.4,639.78,654.39,625.17,640,,7.3,194.48,201.01,187.95,200.3,,7.2,220.13,228.02,212.24,221.39,,7.6,348.44,356.13,340.74,348.46,,8,200.08,207.1,146.33,146.33,,7.5,1,1.01,0.96,0.96,,7.7
MLI,Mali,Kidal,Kidal,Abeibara,18.44,1.42,gid_18440000014200000,2007-05-01,2007,5,XOF,"beans (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Apr 2025,38.04,39.54,0.88,0,,,,,,,385.62,396.05,375.19,382.56,,7.4,640.5,656.35,624.65,628.6,,7.3,205.08,211.92,198.12,198.12,,7.2,220.56,227.36,213.77,222.6,,7.6,348.48,355.8,341.17,349.58,,8,147.7,156.14,139.25,144.66,,7.5,0.95,0.97,0.94,0.95,,7.7
MLI,Mali,Kidal,Kidal,Abeibara,18.44,1.42,gid_18440000014200000,2007-06-01,2007,6,XOF,"beans (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Apr 2025,38.04,39.54,0.88,0,,,,,,,379.79,388.92,370.66,386.55,,7.4,626.24,645.09,611.16,645.09,,7.3,196.29,202.97,189.61,199.74,,7.2,221.86,227.51,216.21,221.73,,7.6,349.79,356.86,342.72,349.65,,8,144.22,152.03,136.42,142.81,,7.5,0.95,0.96,0.93,0.96,,7.7
MLI,Mali,Kidal,Kidal,Abeibara,18.44,1.42,gid_18440000014200000,2007-07-01,2007,7,XOF,"beans (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Apr 2025,38.04,39.54,0.88,0,,,,,,,387.29,395.79,378.8,386.36,,7.4,648.96,661.82,636.11,640.16,,7.3,196.42,202.99,189.86,200.75,,7.2,220.79,225.26,216.33,221.38,,7.6,349.61,356.47,342.75,351.03,,8,143.06,150.25,135.87,144.7,,7.5,0.96,0.98,0.94,0.96,,7.7
MLI,Mali,Kidal,Kidal,Abeibara,18.44,1.42,gid_18440000014200000,2007-08-01,2007,8,XOF,"beans (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Apr 2025,38.04,39.54,0.88,0,,,,,,,387.17,424.19,379.65,424.19,,7.4,638.68,655.33,624.8,655.33,,7.3,196.92,203.37,190.47,199.81,,7.2,220.79,224.16,217.43,222.36,,7.6,351.28,363.81,344.54,363.81,,8,144.52,163.95,137.71,163.95,,7.5,0.96,1,0.95,1,,7.7
MLI,Mali,Kidal,Kidal,Abeibara,18.44,1.42,gid_18440000014200000,2007-09-01,2007,9,XOF,"beans (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Apr 2025,38.04,39.54,0.88,0,,,,,,,428.46,444.19,412.72,423,,7.4,659.12,671.87,646.37,661.5,,7.3,195.6,201.86,189.34,195.01,,7.2,221.9,224.33,219.47,221.22,,7.6,366.13,382.41,358.16,382.41,,8,163.02,190.94,154.14,190.94,,7.5,1.01,1.03,1,1.02,,7.7
MLI,Mali,Kidal,Kidal,Abeibara,18.44,1.42,gid_18440000014200000,2007-10-01,2007,10,XOF,"beans (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), millet (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Apr 2025,38.04,39.54,0.88,0,,,,,,,426.28,440.18,412.39,416.47,,7.4,662.33,677.07,647.6,653.32,,7.3,190.14,196.08,184.21,186.73,,7.2,220.55,222.19,218.92,221.87,,7.6,385.22,394.83,375.62,382.27,,8,189.9,202.22,177.58,182.65,,7.5,1.04,1.06,1.01,1.01,,7.7
