ISO3,country,adm1_name,adm2_name,mkt_name,lat,lon,geo_id,price_date,year,month,currency,components,start_dense_data,last_survey_point,data_coverage,data_coverage_recent,index_confidence_score,spatially_interpolated,maize,oil,rice,sorghum,o_maize,h_maize,l_maize,c_maize,inflation_maize,trust_maize,o_oil,h_oil,l_oil,c_oil,inflation_oil,trust_oil,o_rice,h_rice,l_rice,c_rice,inflation_rice,trust_rice,o_sorghum,h_sorghum,l_sorghum,c_sorghum,inflation_sorghum,trust_sorghum,o_food_price_index,h_food_price_index,l_food_price_index,c_food_price_index,inflation_food_price_index,trust_food_price_index
SOM,Somalia,Shabelle Hoose,Afgooye,Afgooye,2.14,45.12,gid_21400000451200000,2007-01-01,2007,1,SOS,"maize (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Jun 2025,19.85,20.79,0.9,0,,,,,1259.19,1359.07,1230.37,1267.53,,7.8,29755.26,30345.72,29426.81,29780.91,,7.1,6531.19,6799.94,6376.94,6553.25,,7,1315.1,1457.42,1273.18,1326.8,,7.6,0.46,0.48,0.46,0.46,,7.4
SOM,Somalia,Shabelle Hoose,Afgooye,Afgooye,2.14,45.12,gid_21400000451200000,2007-02-01,2007,2,SOS,"maize (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Jun 2025,19.85,20.79,0.9,0,,,,,1303.29,1368.06,1238.52,1285.5,,7.8,29912.02,31375.19,29452.17,31375.19,,7.1,6610.69,6822.91,6398.48,6548.68,,7,1377.45,1763.52,1284.51,1763.52,,7.6,0.47,0.48,0.46,0.48,,7.4
SOM,Somalia,Shabelle Hoose,Afgooye,Afgooye,2.14,45.12,gid_21400000451200000,2007-03-01,2007,3,SOS,"maize (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Jun 2025,19.85,20.79,0.9,0,,,,,1307.46,1517.45,1246.17,1517.45,,7.8,31682.72,33196.48,30955.45,33196.48,,7.1,6600.92,6793.74,6408.11,6665.06,,7,1895.97,2090.33,1701.61,1719.49,,7.6,0.5,0.51,0.49,0.51,,7.4
SOM,Somalia,Shabelle Hoose,Afgooye,Afgooye,2.14,45.12,gid_21400000451200000,2007-04-01,2007,4,SOS,"maize (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Jun 2025,19.85,20.79,0.9,0,,,,,1606.91,1701.38,1512.44,1587.58,,7.8,33616.39,34487.63,31264.24,31264.24,,7.1,6672.99,7584.12,6492.35,7584.12,,7,1828.79,2002.35,1655.22,1913.96,,7.6,0.52,0.53,0.5,0.5,,7.4
SOM,Somalia,Shabelle Hoose,Afgooye,Afgooye,2.14,45.12,gid_21400000451200000,2007-05-01,2007,5,SOS,"maize (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Jun 2025,19.85,20.79,0.9,0,,,,,1653.78,1739.35,1568.22,1638.39,,7.8,31249.42,32322.02,30176.82,31558.32,,7.1,7711.6,8080.59,7342.6,7773.87,,7,1972.68,2140.85,1804.51,2115,,7.6,0.5,0.51,0.49,0.51,,7.4
SOM,Somalia,Shabelle Hoose,Afgooye,Afgooye,2.14,45.12,gid_21400000451200000,2007-06-01,2007,6,SOS,"maize (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Jun 2025,19.85,20.79,0.9,0,,,,,1674.4,1773.48,1587.73,1773.48,,7.8,31147.13,32685.86,30308.96,32685.86,,7.1,7986.95,8319.52,7654.39,8189.54,,7,2183.71,2353.37,2014.05,2018.39,,7.6,0.51,0.53,0.5,0.53,,7.4
SOM,Somalia,Shabelle Hoose,Afgooye,Afgooye,2.14,45.12,gid_21400000451200000,2007-07-01,2007,7,SOS,"maize (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Jun 2025,19.85,20.79,0.9,0,,,,,1838.15,2121.56,1745.99,2121.56,,7.8,32613.81,33754.96,31695.85,33754.96,,7.1,8262.69,9384.39,7946.17,9384.39,,7,2057.12,2340.14,1905.84,2340.14,,7.6,0.54,0.56,0.52,0.56,,7.4
SOM,Somalia,Shabelle Hoose,Afgooye,Afgooye,2.14,45.12,gid_21400000451200000,2007-08-01,2007,8,SOS,"maize (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Jun 2025,19.85,20.79,0.9,0,,,,,2272.73,2408.55,2136.91,2229.57,,7.8,34413.91,35281.33,33546.48,34583.8,,7.1,9542.87,10237.4,9034.92,10237.4,,7,2378.59,2574.53,2182.65,2419.96,,7.6,0.58,0.6,0.57,0.58,,7.4
SOM,Somalia,Shabelle Hoose,Afgooye,Afgooye,2.14,45.12,gid_21400000451200000,2007-09-01,2007,9,SOS,"maize (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Jun 2025,19.85,20.79,0.9,0,,,,,2336.41,2462.02,2210.81,2399.41,,7.8,34794.65,35495.17,34094.13,35478.29,,7.1,10588.24,11504.88,10051.85,11504.88,,7,2488.44,2868.56,2314.25,2868.56,,7.6,0.6,0.62,0.58,0.62,,7.4
SOM,Somalia,Shabelle Hoose,Afgooye,Afgooye,2.14,45.12,gid_21400000451200000,2007-10-01,2007,10,SOS,"maize (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sorghum (1 KG, Index Weight = 1)",Jan 2007,Jun 2025,19.85,20.79,0.9,0,,,,,2489.32,2622.17,2356.47,2596.22,,7.8,35223.52,36168.35,34581.32,36168.35,,7.1,11829.47,12443.27,11215.67,11692.37,,7,2983.8,3231.09,2736.52,3067.01,,7.6,0.63,0.64,0.61,0.63,,7.4
